teamInnings,Batting Position,Batsman Name,Dismissal,Runs,Balls,M,4s,6s,Strike Rate,Match id
Australia,8,Mitchell Johnson,c †Sarfaraz Ahmed b Naved-ul-Hasan,13,19,26,1,0,68.42,2948
Australia,9,Nathan Hauritz,lbw b Iftikhar Anjum,18,20,26,2,0,90.00,2948
Australia,10,Ryan Harris,not out,2,2,2,0,0,100.00,2948
New Zealand,1,Brendon McCullum †,run out (Mohammad Ashraful),0,9,13,0,0,0.00,2949
New Zealand,2,Peter Ingram,c Mohammad Ashraful b Shafiul Islam,69,74,94,9,0,93.24,2949
New Zealand,3,Martin Guptill,c Raqibul Hasan b Shahadat Hossain,2,8,15,0,0,25.00,2949
New Zealand,4,Ross Taylor,c Mahmudullah b Naeem Islam,51,52,85,4,2,98.07,2949
New Zealand,5,James Franklin,c †Mushfiqur Rahim b Shafiul Islam,2,6,6,0,0,33.33,2949
New Zealand,6,Neil Broom,run out (Shafiul Islam),71,73,100,7,0,97.26,2949
New Zealand,7,Daniel Vettori (c),st †Mushfiqur Rahim b Shakib Al Hasan,32,27,37,2,1,118.51,2949
New Zealand,8,Jacob Oram,b Shafiul Islam,83,40,61,8,5,207.50,2949
New Zealand,9,Tim Southee,b Shafiul Islam,0,2,2,0,0,0.00,2949
New Zealand,10,Daryl Tuffey,not out,10,7,13,1,0,142.85,2949
New Zealand,11,Andy McKay,not out,3,2,5,0,0,150.00,2949
Bangladesh,1,Tamim Iqbal,c †McCullum b Vettori,62,69,95,10,0,89.85,2949
Bangladesh,2,Imrul Kayes,c †McCullum b McKay,33,29,49,4,2,113.79,2949
Bangladesh,3,Mohammad Ashraful,c †McCullum b McKay,5,11,17,1,0,45.45,2949
Bangladesh,4,Raqibul Hasan,lbw b Vettori,9,20,26,0,0,45.00,2949
Bangladesh,5,Shakib Al Hasan (c),c Southee b Vettori,8,15,24,0,0,53.33,2949
Bangladesh,6,Mushfiqur Rahim †,c †McCullum b Tuffey,8,24,28,0,0,33.33,2949
Bangladesh,7,Mahmudullah,c McKay b Oram,23,23,35,1,1,100.00,2949
Bangladesh,8,Naeem Islam,c †McCullum b Guptill,15,49,59,0,0,30.61,2949
Bangladesh,9,Shahadat Hossain,c Franklin b Oram,1,5,12,0,0,20.00,2949
Bangladesh,10,Shafiul Islam,c Taylor b Guptill,11,20,22,2,0,55.00,2949
Bangladesh,11,Nazmul Hossain,not out,0,0,3,0,0,-,2949
Australia,1,Shane Watson,c Morton b Gayle,59,74,102,3,0,79.72,2950
Australia,2,Shaun Marsh,c †Ramdin b Smith,20,34,42,3,0,58.82,2950
Australia,3,Ricky Ponting (c),b Pollard,49,61,69,1,2,80.32,2950
Australia,4,Michael Clarke,c †Ramdin b Pollard,18,30,41,0,0,60.00,2950
Australia,5,Cameron White,c †Ramdin b Roach,22,35,44,1,0,62.85,2950
Australia,6,Michael Hussey,c †Ramdin b Rampaul,28,25,48,2,0,112.00,2950
Australia,7,Brad Haddin †,c & b Pollard,8,14,16,0,0,57.14,2950
Australia,8,Mitchell Johnson,b Rampaul,21,20,29,2,0,105.00,2950
Australia,9,Nathan Hauritz,not out,6,6,12,0,0,100.00,2950
Australia,10,Ryan Harris,not out,2,1,1,0,0,200.00,2950
West Indies,1,Chris Gayle (c),c Johnson b Bollinger,7,5,11,1,0,140.00,2950
West Indies,2,Runako Morton,c †Haddin b Harris,3,15,18,0,0,20.00,2950
West Indies,3,Travis Dowlin,c White b Bollinger,1,4,10,0,0,25.00,2950
West Indies,4,Lendl Simmons,c †Haddin b Watson,29,62,96,1,0,46.77,2950
West Indies,5,Narsingh Deonarine,c Ponting b Johnson,19,31,35,3,0,61.29,2950
West Indies,6,Kieron Pollard,c Johnson b Hauritz,31,35,52,3,0,88.57,2950
West Indies,7,Denesh Ramdin †,b Harris,17,14,31,2,0,121.42,2950
West Indies,8,Dwayne Smith,c Watson b Hauritz,7,20,21,1,0,35.00,2950
West Indies,9,Nikita Miller,c †Haddin b Harris,4,10,15,0,0,40.00,2950
West Indies,10,Ravi Rampaul,c Marsh b Hauritz,3,10,11,0,0,30.00,2950
West Indies,11,Kemar Roach,not out,0,0,1,0,0,-,2950
